Вопрос,Схема ответа,метка
Зачем создавать приложение? | Что такое приложение?,"Создать хотя бы одно приложение в проекте необходимо для начала работы с платформой. Приложение — это стенд, для настройки бизнес-логики.",2
Как создать новое приложение?,"Для создания приложения следует нажать на плюс рядом с наименованием проекта. Чтобы открыть приложение для работы со стендом, необходимо нажать на кнопку Перейти. Переход к стенду возможен только при активном статусе приложения, то есть при привязанной лицензии.",2
"Как добавить в мой проект других участников? |Я хочу дать доступ другим людям к моему проекту. Как мне это сделать?
","Для того, чтобы пригласить в свой проект других участников, необходимо сделать следующее:
1. Открыть страницу проекта и перейти на вкладку “Команда проекта”
2. Нажать “Добавить пользователя”
3. Ввести почту того, кого Вы хотите добавить в проект, и указать его роль в проекте. После чего нажать “Отправить приглашение”
4. Приглашенному пользователю придет письмо на почту с предложением вступить в проект, для того, что присоединиться к команде проекта необходимо будет перейти по ссылке в письме. 
5. После принятия приглашения у пользователя появится доступ к приложениям этого проекта, и Вы сможете работать в рамках данного проекта вместе. ",2
Как я могу зайти в среду проектирования и разработки бизнес-приложений GreenData с правами бизнес-администратора? | как начать работу со стендом | как перейти в приложение | как перейти к настройкам в системе,"Для начала работы необходимо зарегистрироваться на сайте greendata.store.
Для создания, редактирования проектов и приложений, а также непосредственно переходу к приложению, необходимо использовать боковую панель в левой части личного кабинета. 
 Чтобы открыть приложение для работы со стендом, необходимо нажать на кнопку Перейти. Переход к стенду возможен только при активном статусе приложения, то есть при привязанной лицензии.",2
Почему я не могу создать еще проект/приложение? | не получается создать еще проект | не получается создать новое приложение | почему больше не могу создавать проект или приложение,"Вероятно вы столкнулись с ограничениями выбранного тарифа.  
Например, для тарифа Community Edition действует ограничение: число проектов 3, по 1 приложению в проекте. 
С другими ограничениями и особенностями тарифов можно ознакомитья по ссылке",2
Как переименовать проект/приложение,"1. Чтобы переименовать проект нажмите по нему в меню слева и перейдите в раздел «Настройки проекта»
2. Наведите мышку на наименование проекта и нажмите «Редактировать»
3. После изменения названия проекта нажмите «ОК»",2
Как остановить приложение? | как сделать приложение неактивным | Как приостановить приложение | можно ли деактивировать приложение ,"1. Перейдите в проект в котором находится приложение на вкладку Управление приложениями
2. Слева в переключателе выберите Остановить приложение, тогда статус приложения измениться с Активно на Приостановлено
Также можно перейти в само приложение через боковвую панель ЛК, внизу в разделе Управление приложениями будет кнопка с зеленым текстом -  Перевести в неактивные, по нажатию приложение будет остановлено",2
Как удалить приложение? | можно ли удалить приложение?,"В личном кабинете выберите приложение, которое хотите удалить, нажмите «Удалить приложение», подтвердите удаление во всплывающем окне",2
Как поменять url адрес приложения? | Как установить доменный адрес ,"1. В личном кабинете зайдите в нужное приложение и нажмите по кнопке «Редактировать» напротив пункта «Внешний адрес»/«Внутренний адрес»
2. В появившейся строке введите адрес и нажмите по кнопке “Ок”
Внимание!
Корректными и допустимыми для настройки внешними адресами, которые можно использовать, являются доменные имена второго уровня или выше, например
При изменении внутреннего адреса часть https://app.greendata.store/ останется неизменной, можно изменять только часть url, которая отражает название приложения
",2
Созданное приложение можно скачать только на Андроид? | скачать мобильную версию | скачать на IOS | Скачать на Android,"Приложение можно скачать и на IOS, и на Android. Приложение можно найти в AppStore по названию GreenData, аналогично можно найти приложение в playmarket.",2
"Я хочу дать доступ к моему проекту тем, кто не хочет/не должен регистрироваться в ЛК Saas | как  добавить конечных пользователей ",Порядок действий по настройке доступа подробно описан в статье на вики.,2
Мне пришло приглашение в какой-то проект. Что это? Что мне делать?,"Это приглашение для работы в команде над проектом. Если Вам известно, какой это проект и от какого пользователя пришло приглашение, то его можно принять.",2
"Что будет, если я приму приглашение в чужой проект?","У Вас появится доступ к приложениям этого проекта, и Вы сможете работать в рамках данного проекта вместе с другими его участниками.",2
Зачем привязываться к юридическому лицу?,"Чтобы работать не как физ.лицо, а как юр.лицо. Заполнить карточку компании, привязать счёт и оплачивать лицензию со счета компании.",2
Как удалить учетную запись? |Как удалить аккаунт?,"Нужно отправить запрос на удаление учетной записи с адреса почты, на который она зарегистрирована по адресу help@greendatasoft.ru",2
Как поменять аватарку?,На данный момент такая возможность не реализована.,2
"Зачем нужна лицензия? |
Зачем мне лицензия?
","Без привязанной лицензии невозможно начать работу с платформой


",2
Сколько действует бесплатная лицензия?,"Бессрочно, работать могут до 5 пользователей",2
Как продлить лицензию?,"В личном кабинете есть спец. раздел ""Управление лицензиями"".  Для продления лицензии достаточно повторно оплатить лицензию после завершения ее периода действия.",2
Где находится раздел с лицензиями?,В верхней панели личного кабинете в разделе Управление лицензиями,2
Как создать лицензию?,"
 Если вы хотите приобрести платную лицензию: 
1. Выберите проект и перейдите в раздел Управление приложениями 
2. Нажмите кнопку Купить лицензию 
3. В тарифном калькуляторе укажите желаемое количество пользователей и срок лицензии 
4. Нажмите кнопку Купить и произведите оплату 
5. После оплаты к приложению будет прикреплена новая лицензия 
 Аналогичным образом приобрести платные лицензии можно в разделе ""Управление лицензиями""  ",2
"Мне нужно создать лицензию на период/количество пользователей, не доступных в калькуляторе | нужны условия, которых нет в калькуляторе лицензий | лицензия на других условиях | настроить лицензию под потребности",Нужно обратиться в отдел продаж.,2
Как оплатить от лица ЮЛ? | Как выставить счет на ЮЛ?,Нужно перейти в личный профиль и связать свой профиль с ЮЛ (статус профиля будет изменен автоматически). После этого в разделе лицензий при покупке лицензии будет доступна опция выставления счета для оплаты по счету от ЮЛ.,2
Как отменить лицензию?,"В спец. разделе ""Управление лицензиями"" есть соответствующая кнопка",2
Как привязать лицензию к приложению? | добавить лицензию ,"В спец. разделе ""Управление лицензиями"" можно сразу привязать лицензию к нужному приложению, используя соответствующую кнопку. Кнопки отображаются после выделения строки с необходимой лицензией",2
"
Что будет с программой по истечении срока действия лицензии?|Что будет когда закончится лицензия| Что произойдет с приложением когда закончится лицензия|","1. Система будет  выдавать информационное сообщение, что необходимо продлить лицензию (причем,  это сообщение будет выходить как для админа, так и для обычных пользователей)
2. Для Saas решения - приложение будет удалено через месяц, если не будет активности.",2
Как войти в приложение?,"Чтобы перейти в приложение, нужно нажать по кнопке “Перейти в приложение”, при этом статус приложения должен быть активен",2
Я открыл приложение. Что мне делать дальше?,Порядок действий при первичной настройке подробно описан в статье на вики.,2
"Меня ""выбросило"" из приложения и теперь система просит логин и пароль. Как/где мне их получить?","Вариант 1: Нажать на ссылку ""Вход по SSO"", заново залогиниться в личном кабинете и перейти в приложение.
Вариант 2: Можно создать в приложении нового пользователя со своим логином и паролем и входить в систему под этим пользователем. Его учетная запись никак не будет связана с пользователем личного кабинета Sass.",2
Необходимо получить доступ к обучающим видео по платформе.,,2
Есть ли какая то документация по rest api?,"Документацию по api GreenData можно посмотреть так:  авторизоваться в приложении, затем в url перейти по адресу {URL стенда}/swagger-ui.html",2
"Падает ошибка ""Сервер временно недоступен"", что делать?",Необходимо подождать 5-10 минут и обновить страницу.,2
Есть ли ограничения по размеру БД?,Ограничений нет,2
Можно ли сделать дамп БД приложения Saas? |Как  сделать дамп БД приложения Saas? ,"
Снятие дампа с приложения из системы
1.Найти PID приложения-стенда, для этого нужно выполнить команду- htop
2. Найти наше приложение- нажать F3 и ввести имя нашего приложения
2.        Перейти в папку стенда и выполнить команду снятия дампа:
 jmap -dump:format=b,file=<имя файла дампа>.hprof <PID>
где: jmap- команда; PID- номер процесса; dump_01.01.hprof- файл вывода информации

2- jstack -l PID >> thread.dump
где: -jstack -команда; -I -опция; PID -номер процесса;
thread.dump- файл вывода информации
Пример команды: jstack -l 24589 >> testdump.dump

Дамп снят",2
Как я могу использовать дамп приложения из Saas?,"1. Можно развернуть приложение на своих серверах при условии покупки соответствующей лицензии.
2. Можно использовать функцию копирования приложения Saas для создания нового приложения со всеми прикладными настройками первого приложения.",2
Нам нужно рассчитывать хэш-функцию при каждом обновлении ядра системы.Как это сделать?,В 7zip там есть пункт рассчитать контрольную сумму и выбрать метод SHA256. Также это можно сделать через команду GitBash (запускать из папки с нужным файлом): sha256sum имя_файла,2
Как часто приложение обновляется?,"Мы обновляем приложения каждые 2 дня (1 раз в два дня).
Приложения Saas обновляются централизованно в соответствии с графиком выше.
On-premise решения (приложения, раввернутые на собственных серварах партнеров) могут обновляться с частотой, удобной партнеру. Например. 1 раз в неделю. Для этого требуется скачать свежю версию из docker-образа и установить обновление.
В случае, когда требется поэтапная установка аких-то конкретных версий перед последней, мы дополнительно уведомляем партнеров.",2
Как установить docker?,Порядок действий по установке docker подробно описан в статье,2
Как часто приложение обновляется?,"Мы обновляем приложения каждые 2 дня (1 раз в два дня).
Приложения Saas обновляются централизованно в соответствии с графиком выше.
On-premise решения (приложения, раввернутые на собственных серварах партнеров) могут обновляться с частотой, удобной партнеру. Например. 1 раз в неделю. Для этого требуется скачать свежю версию из docker-образа и установить обновление.
В случае, когда требется поэтапная установка аких-то конкретных версий перед последней, мы дополнительно уведомляем партнеров.",2
Как часто мне нужно устанавливать обновления?,"Мы обновляем приложения каждые 2 дня (1 раз в два дня).
Приложения Saas обновляются централизованно в соответствии с графиком выше.
On-premise решения (приложения, равернутые на собственных серверах партнеров) могут обновляться с частотой, удобной партнеру.
Оптимальным/рекомендованным является график 1 раз в неделю. 
Для этого требуется скачать свежю версию из docker-образа и установить обновление.
В случае, когда требется поэтапная установка аких-то конкретных версий перед последней, мы дополнительно уведомляем партнеров.",2
Как поменять время активности сессии приложения (on-premise)?,"В конфиге время сессии пользователя указывается в ноде greendata-core.http.sessionStorage.timeout в app.yml.
Если в конфиге нет такой строчки, ее нужно добавить, и она установится как значение по умолчанию. После внесенных изменений необходимо перезапустить стенд.
Чтобы изменить это время, нужно поменять значение server.session.timeout и перезапустить приложение.",2
Какая операционная система является наиболее предпочтительной для развертывания платформы?,Предпочтительной операционной системой для GreenData является Linux.,2
Нужно ли разворачивать redis на отдельном сервере?,"Установка и настройка redis, балансировщика redis и баланировщика не обязательна (по желанию). ",2
Где взять актуальный образ ПО для развертывания? ,"Актуальный образ ПО для развертывания необходимо брать из докера: http://dockerhub.greendatasoft.ru/
Учетка для докера: @nevostruevr_w",2
Какой дополнительный софт может понадобиться?,"Необходимый дополнительный софт - docker.
Необходимо установаить docker, т.к. поставка обновлений может осуществляться только через него. Это обеспечит быструю передачу обновлений (не нужно будет ждать/отправлять war-файл - как только будет выпущен новый патч, он автоматически появится в докере), т.е. у Вас всегда будет актуальная версия.",2
На wiki сейчас актуальная инструкция по развертыванию?,"Да, актуальная.",2
Есть ли возможность отключить кнопку копировать в шапке объекта? Это какая-то прикладная настройка?,На данный момент кнопку копирования можно скрыть только в реестрах. Идет работа над реализацией возможности скрывать кнопки в карточках объектах,2
"Использует ли приложение  Springboot и если да, то какую версию?",Используется версия Springboot 2.5.2,2
Какие есть возможности по интеграции модуля администрирования пользователей?,"Был опыт загрузки учетных записей пользователей из домена.
В целом, используя наш модуль ETL, можно интегрироваться с любой системой, у которой есть API.",2
"Как средство защиты информации (СЗИ) сертифицировали в каких либо проектах ГринДату или как обеспечивалась работа систем с использованием ГД, если была необходимость аттестации системы по требованиям ГИС и персоналки?","Аттестацию не проходили.
На проектах у нас применяется программная СЗИ
- аутентификация / авторизация пользователей;
- политики контроля доступа до ресурсов / объектов; 
- шифрование информации (пароли, подключения и пр.);
- удаление остаточной (рабочей) информации, например, удаление временных файлов",2
"Как сбросить Кэш на стенде, который в облачном решении? ",Чтобы сбросить кэш в саасе сейчас можно остановить приложение и потом снова его запустить,2
Что такое тип объекта?,"Тип объекта (объект) – это сущность Системы, имеющая определенный набор заданных параметров и свойств (атрибутов), определяющих ее поведение. Все данные в Системе хранятся в виде объектов. Существуют как пользовательские типы объектов, так и системные.",2
Что такое системный объект?,"Системный объект – встроенный тип, используемый платформой; представляет собой определенную настройку поведения Системы.
Системные типы объектов не подлежат отдельной настройке. Предполагается работа с экземплярами типа или создание дочерних объектов.",2
Что такое примитивный объект?,"Примитивный объект – специализированный тип объекта, предназначенный для хранения большого объема данных. Чаще всего используется в реализации интеграции данных.
В Системе реализованы следующие варианты использования объекта:
1. Примитивный объект без суррогатного ключа [ASM_OBJ_WITHOUT_ID] – простейший тип объекта без атрибутов. Для его идентификации необходимо использовать индекс-первичный ключ. Такой индекс содержит один или несколько атрибутов, однозначно идентифицирующих объект.
2. Примитивный объект с суррогатным ключом [ASM_OBJ_WITH_ID] – простейший тип объекта, идентификатором которого является простое число. Таким образом созданные в последствии связи примитивного и другого объекта являются короткими, не избыточными.",2
Как создать объект?,"Для того, чтобы создать объект в системе, необходимо выполнить следующие действия:
1. Перейти в реестр типов объектов
2. Нажать на кнопку “Создать”
3. Далее откроется карточка объекта. Необходимо заполнить поля “Наименование”, “Наименование таблицы” и “Объект-родитель”
4. Нажать на кнопку “Сохранить”
Подробнее процесс создания нового типа опсиан в статье ",2
"Где и как можно посмотреть использование типа объекта в других объектах, алгоритмах?","Чтобы посмотреть связи своих прикладных типов, вы можете написать запрос к БД и затем вывести его в дашборд на интерфейс.
Для того чтобы в формуле алгоритма найти какой-то объект и/или текст, на текущий момент также необходимо обращаться напрямую к БД через запрос. Пример селекта:
SELECT * FROM sys_algorithm where status = 1 and lower(FRML_TEXT) like '%%' ",2
Как наполнить объект атрибутами?,"Внедрить атрибут в состав типа объекта можно следующими способами
1. Создать новый атрибут
1.1. Нажать на кнопку “Добавить новый”, после чего заполнить открывшийся формуляр основного раздела
1.2. Сохранить изменения, нажав на кнопку “Ок
1.3. Сохранить карточку объекта

2. Добавить существующий атрибут
2.1. Нажать на кнопку “Добавить существующий” и выбрать атрибут, который будет служить образцом. Выбор осуществляется либо через тип объекта, либо из полного списка атрибутов
2.2. Сохранить изменения, нажав на кнопку “Ок
2.3. Сохранить карточку объекта

Подробнее в статье ",2
Что такое объектный атрибут и как его создать?,"1.Создать тип объекта.
2. Наполнить его реестр экземплярами, которые будут представлять из себя справочник.
3. Создать еще один тип объекта и добавить в него атрибут, указав в нем тип - “Объект”, “Тип объекта” - созданный ранее справочник.
4. Таким образом, объектный атрибут на визуале будет выглядеть как выпадающий список
",2
Каким образом можно массово изменять значения атрибутов в экземплярах объектов? ,"Непосредственно через апдейт к базе;
Написать скрипт по аналогии с апдейтом, но запустить данный скрипт из алгоритма.
Написать алгоритм - цикл по объектам с заполнением необходимого атрибута необходимым значением с функцией сохранения каждого экземпляра.",2
"Каким образом можно из Excel загрузить данные в справочник (тип объекта)?
","В Системе есть тип объекта: Шаблон загрузки справочника из XLS. Для создания автоматического загрузчика необходимо создать экземпляр данного типа.
 Описание по созданию  и настройке экземпляра можно посмотреть в статье 
",2
Что такое дочерний атрибут и как его создать?,"Создание дочернего атрибута происходит следующим образом:
Предположим, у нас есть тип объекта “Бланк заказа”, в котором указаны его детали, одной из которых являются заказанные товары. 
В данном случае “Товар заказа” будет вспомогательным типом объекта, который поможет указать в бланке заказа количество товаров и их сумму.
Для этого в типе объекта “Товар заказа” необходимо создать объектный атрибут (“Ссылка на родителя”), ссылающийся на “Бланк заказа”.
Для завершения создания связи “один ко многим” необходимо вернуться к типу объекта “Бланк заказа” и добавить дочерний атрибут (“Список товаров”), указав тип объекта - “Товар заказа”, и связь - “Ссылка на родителя”.
Дочерний атрибут на визуале будет выглядеть как вложенная таблица.

Подробнее в статье ",2
Как перенести атрибут из дочернего типа в родительский?,"""Если вам нужно перенести атрибут из дочернего типа в родителя, то можно  это сделать таким образом:

1. Взять тестовый тип вне иерархии;

2. Перенести в него """"как существующий"""" атрибут из дочернего типа;
3. Удалить атрибут в дочернем типе;

4. Проверить, что в других дочерних типах такого атрибута также нет. Иначе удалить во всех дочерних типах указанный атрибут;
5. Добавить атрибут в родительский тип из тестового типа;
6. Убедиться, что в дочерних типах атрибут также появился.",2
Как сделать автонумерацию заявок?,Пример создания автонумерации подробно описан в статье ,2
"Не сохраняется объект, вылетает ошибка валидации входных данных, что делать? | Значение идентификатора уже существует, и объект не сохраняется, что делать? | Таблица уже существует в типе объекта, объект не сохраняется, что делать? |Выдает ошибку: TABLE_NAME Таблица уже существует в типе объекта | Выдает ошибку: IDENT Значение уже существует | Выдает ошибку: Наименование таблицы Таблица уже существует в типе объекта | Выдает ошибку: Сист. идентификатор Значение уже существует ","Ошибка валидации означает то, что в Системе уже имеются сущности с такими названиями. Соответственно, чтобы объект сохранился, нужно изменить название, которое указано в ошибке.",2
"При создании типа объекта появился восклицательный знак, что это значит?","Красный восклицательный знак означает обязательность. После заполнения этого поля цвет сменится на серый - значит, можно сохранять карточку объекта.",2
"При создании нового атрибута появилось поле ""значение по-умолчанию"", система просит его заполнить, для чего оно нужно?","Т.к. в реестре уже имеются экземпляры с атрибутами, обязательными для заполнения, Система спрашивает: ""Что делать с уже созданными экземплярами, чем заполнять в них новый обязательный атрибут?"". 
Таким образом, необходимо либо удалить из реестра экземпляры (более предпочтительный вариант), либо указать значение для существующих. 

Подробнее читайте в статье ",2
"Система не дает ввести больше 23 значений в идентификатор, что делать?","Необходимо уменьшить наименование, например, можно обрезать конец слова.",2
"Как удалять объекты из реестра? | Не могу удалить объекты из реестра, что делать?","Для того, чтобы удалить объект из реестра, необходимо сделать следующее:
1.Выделить нужный объект и нажать кнопку удалить
2. Выделить все, выбрать действие “Удалить” и нажать “Подтвердить”
Если после этого шага удаление не происходит, и вылетает ошибка “Link type attr not found”, то необходимо выбрать все пункты и указать действие, которое необходимо с ними выполнить.

",2
Можно ли у объекта поменять родителя и как это сделать?,"Нет, после сохранения объекта изменить его родителя невозможно. Необходимо удалить этот объект и создать новый, сразу указав верный родительский объект.",2
"Как создать выражение для атрибута ""Наименование""?","Создать выражение для наименования нельзя, необходимо переопределить существующее. Для этого выбрать данное выражение в реестре и нажать ""Переопределить алгоритм"".
Подробнее в статье ",2
"Можно ли удалять выражение для атрибута ""Наименование""?","Нет, нельзя.",2
"Что такое системный атрибут ""Прикрепленные файлы"" и для чего он нужен?","Использование атрибута ""Прикрепленные файлы"" в типе объекта позволяет прикреплять/ просматривать/ удалять документы (файлы) в карточке.
Подробнее в статье",2
"Как правильно добавлять системный атрибут ""Прикрепленные файлы?""","Необходимо либо использовать существующий, т.е. добавлять атрибут через кнопку ""Добавить существующий"", либо создавать свой идентификатор (с уникальными значениями).",2
"Падает ошибка ""Problem with object type "", что делать?","Необходимо в карточке объекта нажать кнопку ""Актуализировать таблицу"".",2
"При работе с выражением для наименования падает ошибка ""Объект не найден или у вас недостаточно прав на чтение"", с чем может быть связана ошибка?","Выражения для наименования нельзя удалять, единственное корректное действие - переопределять алгоритм. Необходимо удалить объект и создать заново.",2
Где найти экземпляры объекта?,"Экземпляры типа объекта находятся в реестре. Перейти в реестр типа можно по кнопке ""Открыть реестр""",2
Как создавать экземпляры объектов?,"Необходимо перейти в реестр типа объекта, экземпляр которого вы хотите создать. 
В реестре в левом верхнем углу будет находится  кнопка ""Создать"" (пиктограмма плюса)
По нажатию на данную кнопку откроется карточка объекта, после заполнения и сохранения которой, в реестре появится новоя запись в реестре - новый экземпляр создан",2
"Как можно удалить экземпляры типа объекта при выполнении алгоритма?
","Можно использовать конструкцию delete(id объекта) или воспользоваться SQL скриптом. 
Также нужно заметить, что, если с удаляемым объектом есть связанные объекты, то удаление не произойдёт.
 SQL скрипт нужно будет писать заранее.",2
"Когда захожу под пользователем, не вижу экземпляры справочника и не могу заполнить атрибут в карточке, что делать?",Необходимо раздать права для группы доступа пользователя на уже созданные экземпляры справочника (настройка прав по умолчанию в карточке справочника).  ,2
"Под пользователем не могу открыть и посмотреть через пункт меню экземпляры в реестре, что делать?","Необходимо проверить права на пункт меню для группы доступа данного пользователя, а также проверить права к самому реестру.",2
"У меня не отображается атрибут или его значение в сформированом документе (xml, печатная форма и т.д.)","Нужно добавить нужный атрибут на визуал, заполнить, сформировать новый документ и проверить. ",2
Как настроить визуал карточки? |Как пользоваться конструктором для настройки визуала карточки?,"В реестре объекта необходимо перейти в карточку экземпляра или создать новый 
Нажать “Настройка визуального представления” (Карандаш в правом верхнем углу)
После этого можно осуществлять настройку

Подробнее в статье",2
Как сделать атрибуты в один столбец на визуале?,"Необходимо выполнить следующие действия:
1. Зайти в реестр типа объекта.
2. Нажать на кнопку “Создать” или открыть уже созданный экземпляр.
3. Нажать на кнопку “Настройка визуального представления”
4. В открывшейся панели “Элементы” необходимо зайти на вкладку “Группировки” и перетащить “Ряд” в рабочую область
5. С вкладки “Атрибуты” перетащить в добавленный ряд необходимые атрибуты, которые будут располагаться в столбик
6. Нажать “Ок” для сохранения результатов

Другие варианты настройки ищите в статье ниже или других статьях в вики",2
Как сделать атрибуты в одну строку на визуале?,"Необходимо выполнить следующие действия:
1. Зайти в реестр типа объекта.
2.Нажать на кнопку “Создать” или открыть уже созданный экземпляр.
3. Нажать на кнопку “Настройка визуального представления”
4. В открывшейся панели “Элементы” необходимо зайти на вкладку “Группировки” и перетащить “Ряд” в рабочую область
5. Затем в этот ряд  перетащить “Колонку”
6. С вкладки “Атрибуты” перетащить в добавленные колонки необходимые атрибуты, которые будут располагаться в строку
7. Нажать “Ок” для сохранения результатов

Другие варианты настройки ищите в статье ниже или других статьях в вики",2
Как сгруппировать атрибуты на визуале?,"Необходимо выполнить следующие действия:
1. Зайти в реестр типа объекта.
2. Нажать на кнопку “Создать” или открыть уже созданный экземпляр.
3. Нажать на кнопку “Настройка визуального представления
4. В открывшейся панели “Элементы” необходимо зайти на вкладку “Группировки” и перетащить “Ряд” в рабочую область
5. Затем в этот ряд  перетащить “Группу атрибутов”",2
Как настроить отображение группы атрибутов на визуале?,Читайте об этом в статье,2
"Можно ли разместить вкладки не горизонтально, а вертикально? ","В платформе есть виджет ""Управление вкладками"", он связывается с визуальной группировкой ""Группа вкладок"" (надо указать наименование группы вкладок в виджете) и предназначен для вертикального отображения группы вкладок. При этом сами вкладки настраиваются стандартно.

По умолчанию вкладки остаются видны, т. е. на визуале будут и вертикально расположенные вкладки и горизонтальные. Чтобы оставить только вертикальные нужно включить настройку Скрыть переключение вкладок.
",2
Как вынести рисунок/картинку на визуал?,"1. Можно создать специальный атрибут с  визуальным представлением ""Картинка""/""Image""

2. Другой способ:
Создать шаблон дашборда;
В нем использовать аналитическую панель ""Картинка"";
Использовать данный дашборд на 	нужном визуале.",2
Можно изменить названия атрибутов на визуале?,"Да, можно. Для этого необходимо дважды кликнуть по текущему названию атрибута, после чего оно станет доступным для изменения.",2
Как удалить экземпляры из реестра?,"Для того, чтобы удалить экземпляр из реестра типа объекта, необходимо выделить этот экземпляр в реестре и нажать “Удалить”",2
Как использовать виджет Редактор форм отчетности?,Работа с виджетом подробна описана в статье вики,2
Как настроить представление реестра?,Читайте об этом в статье,2
Как добавить столбцы в реестре?,"Для этого необходимо:
1. Нажать кнопку  “Настройки представления реестра” (гаечный ключ) в реестре типа
2. Чтобы добавить столбец, необходимо выбрать нужный в левой таблице и нажать на стрелку вправо. Чтобы убрать - выбрать столбец в правой таблице и нажать на стрелку влево.
",2
Как изменять ширину столбца при настройке представления реестра?,"Необходимо дважды кликнуть по ячейке ""Ширина столбца"", после чего значение станет доступным для изменения. Далее нужно сохранить результат, нажан на ""Ок"" или на ""Сохранить"".",2
Как изменить порядок столбцов в реестре?,"Для этого необходимо:
1. Нажать кнопку  “Настройки представления реестра” (гаечный ключ) в реестре типа
2. Выделить атрибут и кнопками справа вверх-вниз перемещать его.
3. Последовательность строк в данной таблице - то, в каком порядке будут располагаться столбцы в реестре слева направо.
",2
"Можно ли структурировать данные в реестре? Если да, то как?","Для удобства и наглядности данные в реестре можно структурировать следующим образом:
1. Создать объединенную шапку для столбцов
2. Создать группировки данных

Данные настройки производятся в настройках представления реестра ",2
Как сделать чтобы все объекты реестра появлялись на одном листе?,В меню представления реестра на вкладке “Стили отображения” нужно задать необходимое количество строк.,2
Как отключить отображение количества подразделов в реестре?,"Данная настройка является базовой при применении группировки по разделам, убрать количество подразделов настройкой  нельзя.",2
"В реестрах есть кнопка ""Выгрузить в excel"", можно ли самостоятельно настроить размеры шрифта и размеры полей в выгружаемом excel- файле?","Заранее в Системе нельзя настроить параметры, с которыми будут данные выгружаться в Excel, только в самом файле если корректировать после выгрузки.",2
А можно как-то поменять тему?,"Да, можно.

В приложении нужно нажать на имя пользователя в правом верхнем углу страницы.
Для того, чтобы выбрать из уже существующих, необходимо выбрать “Настройки оформления” в появившемся меню, после чего выбрать подходящую тему.

Подробнее в статье ",2
Как работает сортировка пунктов меню в системе?,"Пункты меню выстраиваются в соответствии с полем ""Порядок"".",2
Что такое бизнес-процесс?,"Бизнес-процесс (далее, БП) - это схема взаимодействия, алгоритм, по которому действуют пользователи для достижения результата.",2
Как создать бизнес-процесс?,"Для создания бизнес-процесса необходимо сделать следующее:
1. Зайти в реестр бизнес-процессов
2. Нажать на кнопку “Создать”
3. Далее откроется карточка бизнес-процесса. Необходимо заполнить поля “Наименование” и “Идентификатор”
4. Нажать на кнопку “Сохранить”

Подробнее в статье 

",2
Зачем связывать тип объекта и бизнес-процесс?,"Создание связи между бизнес-процессом и типом объекта предназначено для выбора объектов, в разрезе которых будет выполняться запуск настраиваемого бизнес-процесса.",2
