page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,embedding
278.0,"Для определения правила обработки данных, расчетов, логики бизнес-процессов и свойств интерфейса осуществляется настройка бизнес-правил и алгоритмов.",149,16,37.25,"[ 0.0294202  -0.04782672 -0.03600363 ... -0.00604134  0.00987621
  0.0148504 ]"
312.0,Функционал модуля позволяет полностью кастомизировать пользовательский интерфейс под задачи конкретного пользователя или разные группы пользователей.,149,15,37.25,"[ 0.03821238 -0.03713451 -0.02345642 ... -0.00552508 -0.03888241
  0.00977727]"
321.0,"модернизировать визуальное представление объекта посредством настройки отображения, форматирования текста и цветового оформления;",129,12,32.25,"[ 0.01140053 -0.00965604  0.0024664  ...  0.01261676 -0.01439494
  0.00234786]"
338.0,"Возможности модуля ""Электронные документы"" (eDoc) позволяют обеспечить полнофункциональный online доступ к электронным документам и организовать совместную работу с ними.",170,19,42.5,"[ 0.01101784 -0.01190768 -0.01505447 ... -0.00146742 -0.057892
 -0.01263037]"
360.0,"Функционал модуля ""Аналитика и отчетность"" позволяет собирать, агрегировать, группировать и фильтровать данные, обеспечивая наглядное представление результата в табличном виде и формате бизнес-графики.",201,22,50.25,"[ 0.0385116  -0.02458707 -0.03918635 ...  0.01385924 -0.04011242
 -0.01223525]"
382.0,"Для организации обмена данными с внешними системами предназначен инструментарий модуля ""Интеграции"" (ETL), который специализируется на действиях загрузки и трансформации любых данных.",183,21,45.75,"[ 0.04835538 -0.03782241 -0.03101032 ... -0.01321773 -0.02159638
  0.00930108]"
404.0,"Возможности модуля ""Сложные расчеты"" позволяют организовать расчеты по произвольным методикам, а также управлять цепочками сложных и пакетных расчетов.",151,18,37.75,"[ 0.03047949 -0.00485533 -0.0166541  ... -0.0128375  -0.02842551
  0.01210453]"
426.0,"Данный модуль позволяет организовать работу на мобильных устройствах, а также предоставляет возможность участникам приложения организационно решать вопросы в удобном messenger.",176,20,44.0,"[ 0.02343011 -0.03502306 -0.04214839 ...  0.00534961 -0.01210999
 -0.00646698]"
450.0,"Большинство бизнес-задач предполагает извлечение сведений из хранилища Системы именно в формате объектов, но некоторые задачи (например, статистики) более эффективно решаются путем извлечения данных запросами SQL.",213,25,53.25,"[ 0.01861257 -0.01602167 -0.06009036 ...  0.00841008  0.00791227
 -0.00159036]"
529.0,"Информация, внесенная в Систему, хранится в виде настраиваемой объектной модели.Эта модель Системы описывает структуру объектов, их свойства, операции и взаимосвязи с другими объектами.Каждый объект Системы имеет свой набор свойств (атрибутов), который отличает один объект от другого.",285,36,71.25,"[ 0.06582452 -0.03494823 -0.05088021 ...  0.00507955 -0.00256962
 -0.02420522]"
535.0,"Так как термин объект является слишком широким понятием, в Системе предполагается уточняющая классификация, которая опирается на связанные понятия:",147,18,36.75,"[ 0.01058247 -0.02474928 -0.04003788 ... -0.01348449 -0.01852212
  0.00132699]"
553.0,"При настройке каждого атрибута бизнес-аналитик должен уточнить обязательность его заполнения, значение по умолчанию и другие опции.",131,16,32.75,"[ 0.00657195 -0.02792968 -0.03322263 ... -0.01704774 -0.02243047
  0.01334432]"
565.0,"При создании нового типа необходимо выбрать родительский объектный тип, от которого будут унаследованы (заимствованы) все родительские атрибуты.",144,17,36.0,"[ 0.00946719 -0.02803802 -0.02778777 ... -0.02310942 -0.03381662
 -0.01684546]"
572.0,"В Системе предусмотрен перечень стандартных объектных типов (системных классов), которые не подлежат изменению.Перечень предопределенных типов смотрите в статье ""Системные классы"".",180,20,45.0,"[ 0.01059225 -0.02664039 -0.03397692 ...  0.00272972  0.00106843
 -0.00971649]"
574.0,"Особым объектным типом является ""Примитивный объект"" – специальная структура, предназначенная для хранения большого объема данных и интеграции.",143,17,35.75,"[ 0.03912996 -0.02995634 -0.03898956 ... -0.00309251 -0.03851687
  0.01205756]"
596.0,"Бизнес-аналитик выполняет прямые действия с элементами структуры, а пользователи получают доступ к данным через визуальное представление объектов.",146,17,36.5,"[ 6.2306249e-03 -2.1290896e-02 -2.4098573e-02 ...  4.5923772e-03
 -2.7719820e-02 -5.2119444e-06]"
604.0,"Для пользователей Системы представляет ценность возможность работы с экземплярами и реестрами объектов.Внешний вид объектов, содержащих внесенные пользователями данные, предварительно настраивается бизнес-аналитиком.За это отвечает визуальное представление, которое может содержать различный набор атрибутов, элементов группировки и оформления.Подробнее настройки представлений описаны в статье ""Визуальное представление"".",422,42,105.5,"[ 0.02241254 -0.01441155 -0.05575148 ... -0.00268609 -0.00106391
 -0.02473227]"
607.0,"Типы объектов состоят из набора атрибутов и объявляют (декларируют) структуру, в которой хранятся данные объектов Системы.",122,16,30.5,"[ 0.02866764 -0.02963323 -0.0562198  ... -0.00821718 -0.00588025
 -0.04119316]"
609.0,"На базе типов объектов в Системе создаются экземпляры и реестры объектов.Гибкость Системы позволяет бизнес-аналитику разрабатывать не только структуры для хранения, но и любые функциональные объекты (например, алгоритмы и отчетные формы).Каждый объект системы соотнесен конкретному объектному типу.Перечень типов объекта может расширяться в любое время в процессе настройки Системы.",382,47,95.5,"[ 0.01786759 -0.03787321 -0.04889737 ... -0.02219215 -0.01230702
 -0.02225521]"
616.0,"Бизнес-аналитику потребуется продекларировать новый тип и укомплектовать его атрибутами.Но в решении реальных задач кроме основных (ключевых) действий могут потребоваться расширенные настройки типа объекта, приведенные в виде расширенных сведений.",247,28,61.75,"[ 0.00161193 -0.01736935 -0.03836863 ... -0.00887885 -0.01818376
 -0.010769  ]"
620.0,"В Системе все типы объектов упорядочены в единую иерархическую структуру (репозиторий), верхними (родительскими) элементами которой являются типы ""Объект"" и предназначенный для решения специальных задач хранения больших наборов данных и интеграции ""Примитивный объект"" (более подробно о видах и возможностях примитивных объектов смотрите в публикации ""Примитивный объект"").Все прочие типы являются дочерними и визуально отображаются вложенными.За счет механизма наследования типы объектов заимствуют от своих родительских типов их атрибуты.Познакомиться с уже существующими типами объектов можно в реестре типов.",612,74,153.0,"[ 0.03637322 -0.02813478 -0.03634832 ... -0.00389655 -0.01543566
 -0.01226636]"
631.0,"Для прикладной наглядности материала рассмотрим действия на примере учебной тематической задачи, требования которой далее по тексту именуем ТЗ.",143,18,35.75,"[ 0.00574626 -0.00767174 -0.00824829 ... -0.03827954 -0.0262006
 -0.00356187]"
657.0,"После предварительного анализа установлено, что в структуре типа объекта потребуется атрибут, который будет в дальнейшем уточнять сотрудник отеля:",146,18,36.5,"[ 0.01686157 -0.01537515 -0.03841402 ... -0.01141559 -0.03421223
  0.00664875]"
665.0,"По мере автоматизации состав атрибутов будет расширяться, но в рамках демонстрационного примера посчитаем его достаточным.",122,15,30.5,"[ 0.01406023 -0.00609576 -0.03045328 ... -0.00277443 -0.04445108
  0.01561621]"
669.0,"Если планируется разработать новый тип объекта Системы, то бизнес-аналитик должен предварительно проанализировать задуманный состав атрибутов.Часто в создаваемом типе объекта подразумевается необходимость выбора справочных значений (например, из выпадающего списка справочника).",278,29,69.5,"[-0.00533815 -0.02582699 -0.06213551 ... -0.02326247 -0.00613002
 -0.01399042]"
673.0,"Если в перечне атрибутов типа А должна быть реализована возможность выбора значения из другого объекта сущности B, то перед созданием объектного типа А, необходимо убедиться в существовании типа В. При отсутствии типа В в Системе требуется первоначально разработать именно его, а затем разрабатывать/модернизировать атрибутивный состав типа А.",343,47,85.75,"[ 0.02255315 -0.03430935 -0.02408582 ... -0.0136205  -0.00944298
 -0.02337096]"
675.0,"Поэтому в рамках решения задачи (ТЗ) следует создать два связанных типа объектов.Причем сначала должен быть спроектирован тип ""Номера отеля"", а лишь затем ""Бронь номера"".",170,24,42.5,"[ 0.01618413 -0.01682467 -0.03990949 ...  0.0099135  -0.00390499
 -0.01747071]"
677.0,"Бизнес-аналитику следует учитывать, что механизм наследования атрибутов от родительского объекта (по умолчанию от ""Объект"") позволяет значительно уменьшить количество настраиваемых вручную атрибутов типа объекта.Поэтому в структуре типа объекта должны создаваться лишь оригинальные, отсутствующие в родительском типе атрибуты.",326,36,81.5,"[-3.4325258e-05 -1.4650683e-02 -5.1162157e-02 ... -2.0576511e-02
 -1.7890397e-02 -1.0431963e-02]"
683.0,"Создать тип объекта ""Номера отеля"" без собственных атрибутов, так как атрибут наименования уже будет унаследован от родительского типа ""Объект"".",144,19,36.0,"[ 0.01542507 -0.02989778 -0.0260085  ... -0.02868272 -0.03817616
 -0.02095781]"
689.0,"Создавать новый атрибут для фиксации сотрудника, зарегистрировавшего заявку не требуется, так как в составе типа ""Бронь номера"" уже имеется унаследованный атрибут ""Сотрудник, создавший объект"".",193,24,48.25,"[ 0.01336854 -0.03519899 -0.02557627 ... -0.00722975 -0.03408123
 -0.00712085]"
691.0,"Подлежат созданию ""с нуля"" не все атрибуты, так как некоторые из них (например: номер, серия паспорта, дата выдачи паспорта) могут быть созданы на основе уже существующих в Системе атрибутов.",191,29,47.75,"[ 0.0223653  -0.03189446 -0.05367697 ... -0.00188158 -0.03222833
 -0.03058403]"
693.0,"В перечне атрибутов типа объекта ""Бронь номера"" потребуется настроить объектную ссылку на выбор одного из элементов справочника ""Номера отеля"".",143,19,35.75,"[ 0.02468144 -0.02995542 -0.04048434 ... -0.01189146 -0.01149619
 -0.00604475]"
696.0,"Бизнес-аналитику следует первоначально продекларировать тип объекта, заполнив смысловые атрибуты идентификации типа.Далее следует выбрать родительский тип объекта, из состава которого произойдет наследование атрибутов.",218,22,54.5,"[-0.00659811 -0.01541215 -0.02685408 ... -0.0336064  -0.02111478
 -0.01682224]"
700.0,"Специфика реальных задач может потребовать применения расширенных настроек, но для создания учебного типа объекта, предназначенного для хранения данных, достаточно выполнить цепочку ключевых действий, временно не обращая внимания на расширенные настройки и специальные опции.",275,33,68.75,"[ 0.0256526  -0.03530023 -0.04158075 ... -0.00463655 -0.00439254
 -0.00538918]"
703.0,"Активируется на панели управления кнопкой создания нового типа объекта и позволяет обозначить смысловое значение, уникальную идентификацию типа и задать иерархию создаваемого типа объекта.",188,23,47.0,"[ 0.02671044 -0.04224771 -0.02841859 ... -0.01782956  0.00452625
 -0.00981561]"
707.0,"Бизнес-аналитиком заполняются смысловое наименование создаваемого типа и техническое наименование таблицы для хранения данных, которые не должны быть видоизменены в последующем:",177,20,44.25,"[ 0.01451538 -0.02749104 -0.0380523  ... -0.01285425 -0.01445848
 -0.00686875]"
713.0,"При выборе наименований таблиц рекомендуется использовать смысловые термины английского языка в единственном числе.Например, сущности товара желательно сопоставить имя таблицы PRODUCT, а договору - CONTRACT.Сложные составные наименования могут состоять из слов, сокращений и аббревиатур, разделенных знаком подчеркивания.Например, условие договора лучше обозначить как CONTRACT_CONDITION.Работа по созданию и настройке типа объекта всегда должна завершаться нажатием на кнопку сохранения выполненных изменений на панели управления.Вернуться из режима создания (и настройки) типа объекта можно навигационной кнопкой панели управления.",633,72,158.25,"[ 0.02317292 -0.02278283 -0.02994412 ... -0.0323575  -0.01973026
 -0.02125569]"
722.0,"Бизнес-аналитиком обязательно указывается (выбирается) родительский тип объекта, атрибуты которого будут заимствованы и войдут в состав атрибутов разрабатываемого типа.",168,18,42.0,"[-0.00606573 -0.00914718 -0.04141764 ... -0.02067415 -0.02693297
 -0.00878107]"
724.0,"В случае создания нового объектного типа, не имеющего принципиального сходства с существующими типами, следует выбирать в качестве родительского тип верхнего уровня ""Объект"".Если создаваемый тип является результатом развития существующей структуры, то именно ее следует выбрать в качестве родителя.Действия первого этапа не предполагают возможность корректировки и должны быть максимально четкими.",397,48,99.25,"[ 0.00917329 -0.03407069 -0.03481669 ... -0.01022222  0.00872273
 -0.0203666 ]"
734.0,"Для этого типа не требуется создания индивидуальных атрибутов, так как унаследованный (от типа ""Объект"") строковый атрибут наименования полностью подходит для хранения наименований номеров отеля.Если атрибутивный состав типа кажется пустым и унаследованные атрибуты не отображаются, то переключите чек-бокс ""Показать атрибуты родительского типа"" в активное положение.Завершим создание справочника ""Номера отеля"" нажатием кнопки сохранения и вернемся из карточки типа кнопкой возврата на панели инструментов.После того, как справочник номеров отеля создан, можно приступать к созданию второго типа объекта:",605,74,151.25,"[ 0.03764668 -0.03374283 -0.0321205  ... -0.02725621 -0.02948422
 -0.00327424]"
756.0,Используются для тонкой настройки объектов и решения специальных задач.В режиме ознакомления с Системой расширенные опции настройки знать и применять не обязательно.,165,21,41.25,"[ 0.02254776 -0.02151349 -0.04485285 ...  0.0036487   0.00135815
 -0.0168077 ]"
760.0,"Характеристика Системный объект со значениями ""Нет / Да"" позволяет отметить создаваемый тип как системный с потерей возможности его модификации.Для всех стандартных задач проектирования настоятельно рекомендуется выбирать ""Нет"".",228,27,57.0,"[ 0.00673139 -0.0274209  -0.05189482 ... -0.02324848 -0.01794145
 -0.00704925]"
766.0,"Подразумевает разрешение использования иерархической вложенности данных, позволяющее накапливать в реестре данных дерево вложенности объектов создаваемого типа.",160,16,40.0,"[ 0.00642077 -0.04544611 -0.02445158 ... -0.02938309 -0.04676379
  0.03193163]"
774.0,"Характеристика Принудительное создание версий исторических атрибутов ""Нет / Да"" выполняет предписание принудительного создания первой версии исторического атрибута.",164,17,41.0,"[ 0.00951685 -0.04146014 -0.0082487  ...  0.00252408 -0.02658579
  0.00143638]"
776.0,"Характеристика Атрибуты могут зависеть от времени со значениями ""Нет / Да"" разрешает фиксировать хронологию изменения значений атрибутов для выдачи не только актуального значения, но и значений на разный момент времени.",219,30,54.75,"[ 0.0148957  -0.03365922 -0.02797339 ... -0.0161995  -0.04234269
 -0.02889596]"
780.0,Характеристика Вид контроля прав определяет выбор правила доступности информации для сотрудников.Подробнее можно прочитать в статье Общий порядок настройки прав доступа,168,20,42.0,"[ 0.01142814 -0.02402773 -0.0214337  ... -0.00269438 -0.03919766
  0.0034302 ]"
782.0,"Атрибут для наследования прав используется в случае выбора Вида контроля прав ""Наследование прав от связанного объекта"" для заимствования права доступа от родительского типа объекта",181,24,45.25,"[ 0.02890327 -0.03417121 -0.02022354 ... -0.02213706 -0.03817732
 -0.02105651]"
784.0,"Открывать объекты в режиме только чтения со значениями ""Нет / Да"" требует от конечного пользователя, не блокируя тип объекта для редактирования, явного нажатия кнопки ""Редактировать"".Для запрета редактирования типа объекта необходимо настраивать права доступа к нему.",267,35,66.75,"[ 0.03063567 -0.03736619 -0.03636501 ... -0.00746025 -0.01116458
 -0.00478748]"
790.0,"Гибкость Системы позволяет обеспечить работу с таблицами, хранящимися в сторонних базах данных.Возможность предусмотрена для задач интеграции.",142,16,35.5,"[ 0.03376736 -0.03229535 -0.03523457 ... -0.01565342 -0.02255465
 -0.00920986]"
795.0,Происходит после декларации типа объекта и сохранения соответствующих изменений.Для всех атрибутов типа объекта (циклически) выполняется индивидуальная настройка.,162,17,40.5,"[ 0.02316083 -0.03126052 -0.03906097 ... -0.0190894  -0.02523045
 -0.0135861 ]"
808.0,"При создании нового атрибута потребуется вручную задать наименование, наименование поля для таблицы, идентификатор, уточнив подходящий тип и обязательность заполнения.",167,19,41.75,"[ 0.03115996 -0.04115736 -0.0183658  ... -0.02869459 -0.0174931
 -0.00861604]"
810.0,"При создании атрибута в режиме добавления из существующего необходимо выбрать эталонный атрибут (из конкретного типа объектов либо из полного списка всех атрибутов), который будет служить образцом для последующего заимствования всех характеристик.В результате не требуется ручное заполнение идентификатора, типа, размерности и прочих характеристик.",348,42,87.0,"[ 0.02806248 -0.03764468 -0.02511116 ... -0.03272108 -0.04308853
 -0.01026277]"
812.0,"Актуальный перечень индивидуальных атрибутов отображается в табличном виде в разделе ""Атрибуты"" типа объекта, но для показа полного перечня атрибутов (с учетом заимствованных от родительского типа) нужно переключить чек-бокс ""Показывать атрибуты родительского типа"" в активное положение.",287,35,71.75,"[ 0.03916202 -0.0101365  -0.03312183 ... -0.03217349 -0.0279596
 -0.0263127 ]"
818.0,"Наименование поля для таблицы – англоязычное техническое наименование поля, в котором будут храниться данные атрибута, без пробелов и национальных символов (не более 23 знаков);",177,24,44.25,"[ 0.0408244  -0.04533504 -0.02454383 ... -0.02975034 -0.03368622
  0.00638783]"
826.0,"Прочие характеристики и опции атрибутов настраиваются при необходимости.Более подробное описание приведено в статье ""Атрибуты"".",127,14,31.75,"[ 0.03665785 -0.01389708 -0.03417054 ... -0.00253523 -0.0136732
  0.00081787]"
829.0,"Специфика реальных задач требует создания новых атрибутов.Но прежде чем создавать новый атрибут нужно убедиться, что в Системе такой атрибут еще не реализован.В случае наличия в Системе существующего атрибута действия должны быть выполнены по схеме Шага 2.2б.",259,36,64.75,"[ 0.02183776 -0.02620313 -0.04012561 ... -0.00753474 -0.02307867
  0.00409045]"
837.0,"Бизнес-аналитик при проектировании типа объекта может реализовать связь со вспомогательным (справочным) типом.Создание такой связи возможно за счет использования атрибута с типом ""Объект"" при условии уточнения конкретного типа объекта (реестр которого будет выбран в качестве справочника).",289,35,72.25,"[ 0.01503622 -0.02844729 -0.04871849 ... -0.01095665 -0.01027021
 -0.01285866]"
841.0,"По стандартам проектирования наименование атрибута, который предполагает обращение к справочному значению, должно начинаться с префикса ""DICT_"".",144,16,36.0,"[-0.01678146 -0.01957702 -0.02549357 ... -0.04147693 -0.04546763
  0.01688162]"
845.0,"В рамках решаемой задачи (ТЗ) настроим состав атрибутов для типа объектов ""Бронь номера"".Для этого последовательно создадим новые атрибуты со следующими характеристиками:",170,21,42.5,"[ 0.03439477 -0.02124161 -0.02802948 ... -0.0019051  -0.00275891
 -0.00949412]"
932.0,"Обратите внимание, что типом ""Объект"" с соседствующим уточнением типа объекта ""Номера отеля"" характеризуется атрибут ""Номер отеля"", указывающий выбор из списка справочника номеров отеля.",186,23,46.5,"[ 0.02061454 -0.0312658  -0.04461503 ... -0.01536375 -0.01597648
 -0.02178247]"
934.0,"Атрибут ""Сотрудник, зарегистрировавший заявку"" разрабатывать и настраивать не требуется, так как в составе атрибутов типа уже присутствует равнозначный атрибут ""Сотрудник, создавший объект"" (унаследованный от родительского типа ""Объект"").",238,27,59.5,"[ 0.01384368 -0.0427288  -0.02917495 ... -0.02032442 -0.03404759
 -0.01527978]"
939.0,"Такой способ настройки атрибутов рекомендуется в ситуациях, когда в существующих типах объектов Системы уже имеются аналогичные атрибуты (характеристики).Метод добавления приводит в полное соответствие типы и разрядность атрибутов, что обеспечивает максимальную совместимость архитектуры данных в развитии и настройке Системы.",326,38,81.5,"[ 0.03474472 -0.02565826 -0.04491347 ... -0.011366    0.00223157
 -0.00769869]"
941.0,"Для добавления в тип объекта существующего атрибута следует нажать кнопку ""Добавить существующий"" и выбрать атрибут, который будет служить образцом, из полного списка атрибутов.",177,23,44.25,"[ 0.0284413  -0.02479753 -0.02249285 ... -0.01797729 -0.02617531
 -0.01310047]"
945.0,"Действие успешно завершается нажатием кнопки ""Добавить"".В результате в состав типа объекта внедряется атрибут полностью эквивалентный образцу.",142,16,35.5,"[ 0.02144444 -0.03869959 -0.01895463 ... -0.00692695 -0.04934351
  0.00625817]"
947.0,"В рамках решаемой задачи предполагается, что заявки на бронирование носят предварительный характер и не требуют точной сверки и обязательного заполнения паспортных данных.Поэтому создадим эти атрибуты необязательными.",217,26,54.25,"[ 0.01278193 -0.02119149 -0.03062827 ... -0.00020155 -0.03461791
 -0.02209866]"
949.0,"Так как в объектах Системы уже реализована возможность хранения паспортных данных физических лиц, то выполним добавление в состав типа ""Бронь номера"" двух существующих атрибутов.",178,24,44.5,"[ 0.0285719  -0.03672851 -0.04397222 ...  0.01586734 -0.03501754
 -0.01792392]"
960.0,"Для этого последовательно воспользуемся выбором атрибута из полного списка атрибутов, в режиме поиска найдем требуемые атрибуты образцы и добавим их кнопкой ""Добавить"".Идентификаторы и прочие характеристики атрибутов автоматически заполнятся.",242,28,60.5,"[ 0.03900035 -0.0207459  -0.01474704 ... -0.0267315  -0.02585265
  0.01154156]"
963.0,Атрибут следует считать подготовленным при успешном завершении настройки текущего атрибута и обязательном сохранение выполненных изменений.,139,15,34.75,"[ 0.03635284 -0.00412476 -0.02563304 ...  0.00339858 -0.03839964
  0.02080747]"
966.0,"При необходимости расширенные функциональные возможности типа объекта позволяют реализовать оригинальную логику обработки, контроля и заполнения данных.В качестве расширенного функционала типу объекта могут быть сопоставлены:",225,24,56.25,"[ 0.03276467 -0.02118105 -0.03617005 ... -0.0153902  -0.0177251
 -0.00384631]"
980.0,"Представляют собой перечень алгоритмов, которые срабатывают автоматически при сохранении данных карточки объекта.Обычно выражения по некой логике выполняют автоматическое заполнение атрибутов, которые не заполнены пользователем или должны быть алгоритмически рассчитаны в зависимости от значений других атрибутов.",313,35,78.25,"[ 0.02777658 -0.02252081 -0.05059071 ... -0.01728207 -0.00242931
  0.01534648]"
